#1 恒星名
#2 x座標（光年）
#3 y座標（光年）
#4 z座標（光年）
#5 距離（光年）
Rigel	150.775334453	750.090282763	-110.27405055	773.0
Betelgeuse	13.4328825706	637.492885362	82.8937800939	643.0
Bellatrix	36.6025910185	238.719464873	26.8750334246	243.0
Alnilam	139.003229411	1334.48480757	-28.1496103992	1342.0
Alnitak-A	68.4722528924	813.654445675	-27.6946495996	817.0
Saiph	37.9522236696	709.742543413	-121.103884285	721.0
Mintaka-A	111.604351232	909.163135063	-4.7814881219	916.0
Hatsya	141.006439553	1310.39295565	-136.427584432	1325.0

